corner,temp_c,vdd_v,vcm_v,iq_a,pq_w,gain_dc_db,gbw_hz,phase_at_gbw_deg,phase_margin_deg,elapsed_s
tt,-40.0,1.8,0.9,6.429066e-05,0.0001157232,73.0422,14778400.0,-113.19125017486492,66.80874982513508,6.72
tt,27.0,1.8,0.9,6.459614e-05,0.000116273,72.2229,12692700.0,-113.17291552542073,66.82708447457927,7.39
tt,125.0,1.8,0.9,6.486924e-05,0.0001167646,71.1486,10853600.0,-113.28349637988099,66.71650362011901,8.99
ff,-40.0,1.98,0.99,6.576817e-05,0.000130221,74.2328,16356300.0,-113.84957868147023,66.15042131852977,9.92
ff,27.0,1.98,0.99,6.588198e-05,0.0001304463,73.3888,13943100.0,-113.79973135329385,66.20026864670615,9.02
ff,125.0,1.98,0.99,6.601463e-05,0.000130709,72.2855,11860200.0,-114.02433080898513,65.97566919101487,8.89
ss,-40.0,1.62,0.81,5.9674e-05,9.667187e-05,71.432,9558820.0,-106.63890482974881,73.36109517025119,8.62
ss,27.0,1.62,0.81,6.07523e-05,9.841873e-05,70.732,9169930.0,-108.33657877672145,71.66342122327855,7.58
ss,125.0,1.62,0.81,6.170609e-05,9.996387e-05,69.7189,8446960.0,-109.54723859783289,70.45276140216711,6.99
sf,-40.0,1.8,0.9,6.503983e-05,0.0001170717,71.966,15623300.0,-115.89847575685806,64.10152424314194,7.26
sf,27.0,1.8,0.9,6.525539e-05,0.0001174597,71.2889,13415000.0,-115.90993491276068,64.09006508723932,6.95
sf,125.0,1.8,0.9,6.547057e-05,0.000117847,70.4319,11490600.0,-115.82399124349105,64.17600875650895,7.55
fs,-40.0,1.8,0.9,6.298519e-05,0.0001133733,73.469,13177600.0,-109.90762905097017,70.09237094902983,6.99
fs,27.0,1.8,0.9,6.346384e-05,0.0001142349,72.4741,11430300.0,-110.0846730096656,69.9153269903344,7.18
fs,125.0,1.8,0.9,6.386842e-05,0.0001149632,71.0939,9797820.0,-110.41125895289017,69.58874104710983,6.74
