corner,temp_c,vdd_v,v_low_v,v_high_v,sr_rise_v_per_us,sr_fall_v_per_us,elapsed_s
tt,-40.0,1.8,0.54,1.26,19.04829094500688,12.018428256660213,7.35
tt,27.0,1.8,0.54,1.26,18.936322233083335,13.59255681657285,7.55
tt,125.0,1.8,0.54,1.26,18.586161054248354,14.02387955045675,8.01
ff,-40.0,1.98,0.594,1.3860000000000001,19.69202207893385,15.686533414758944,7.65
ff,27.0,1.98,0.594,1.3860000000000001,19.652524183109254,15.716104707886165,7.64
ff,125.0,1.98,0.594,1.3860000000000001,19.456830158086746,15.523527028969413,8.55
ss,-40.0,1.62,0.486,1.1340000000000001,17.2561481685315,1.7305689334389718,7.58
ss,27.0,1.62,0.486,1.1340000000000001,17.222667653012863,4.8607473399035115,7.44
ss,125.0,1.62,0.486,1.1340000000000001,16.88100799763805,9.02945022074312,6.84
sf,-40.0,1.8,0.54,1.26,18.83042159221676,14.315253698107206,7.49
sf,27.0,1.8,0.54,1.26,18.86734769639293,14.753292169826786,9.16
sf,125.0,1.8,0.54,1.26,18.72448139254662,14.79690224111415,8.6
fs,-40.0,1.8,0.54,1.26,18.895075470955383,6.5263304196490886,9.25
fs,27.0,1.8,0.54,1.26,18.70178446193408,10.984847521670916,9.02
fs,125.0,1.8,0.54,1.26,18.167901691465293,12.584845748244822,8.62
