device,corner,length_um,width_um,temp_c,vds_v,overdrive_bias_v,vov_v,id_a,gm_s,gds_s,cgg_f,vth_v,gm_id_per_v,gm_gds,ft_hz
nfet,tt,0.15,2.0,-40.0,0.9,0.22,-0.587802292,6.53741123e-13,2.25307497e-11,8.47453657e-13,7.12297619e-16,0.807802292,34.464329850640276,26.586409196414618,5034.244240989437
nfet,tt,0.15,2.0,-40.0,0.9,0.24,-0.567802292,1.30239296e-12,4.48806534e-11,1.66491868e-12,7.08619738e-16,0.807802292,34.46014741971578,26.95666397352212,10080.12824757653
nfet,tt,0.15,2.0,-40.0,0.9,0.26,-0.547802292,2.59438818e-12,8.93877198e-11,3.2699393e-12,7.05517972e-16,0.807802292,34.45425803628199,27.336201561906666,20164.613833371328
nfet,tt,0.15,2.0,-40.0,0.9,0.28,-0.527802292,5.16733795e-12,1.77993928e-10,6.42000868e-12,7.03095439e-16,0.807802292,34.44596225799398,27.724873418706967,40291.277556620465
nfet,tt,0.15,2.0,-40.0,0.9,0.3,-0.507802292,1.02899398e-11,3.54326629e-10,1.25994977e-11,7.01480864e-16,0.807802292,34.434276184978266,28.12228212875502,80391.12307764695
nfet,tt,0.15,2.0,-40.0,0.9,0.32,-0.48780229199999997,2.04850838e-11,7.05051866e-10,2.4714677e-11,7.00833028e-16,0.807802292,34.417817026455126,28.527658524527755,160113.01569261178
nfet,tt,0.15,2.0,-40.0,0.9,0.34,-0.46780229199999995,4.07654455e-11,1.40211304e-09,4.844949e-11,7.01345561e-16,0.807802292,34.394645337556774,28.93968625882336,318178.703193652
nfet,tt,0.15,2.0,-40.0,0.9,0.36,-0.447802292,8.10786944e-11,2.78603005e-09,9.49041595e-11,7.0325184e-16,0.807802292,34.362048755437286,29.356248078884256,630514.4598840444
nfet,tt,0.15,2.0,-40.0,0.9,0.38,-0.427802292,1.61132828e-10,5.52947404e-09,1.85714436e-10,7.06829515e-16,0.807802292,34.316247710863735,29.77406689052433,1245057.1283293294
nfet,tt,0.15,2.0,-40.0,0.9,0.4,-0.40780229199999996,3.19880539e-10,1.09565495e-08,3.62941423e-10,7.1240382e-16,0.807802292,34.252003995779184,30.18820340052505,2447753.59592546
nfet,tt,0.15,2.0,-40.0,0.9,0.42,-0.387802292,6.34056957e-10,2.1660725e-08,7.08066552e-10,7.20348258e-16,0.807802292,34.16211234789748,30.59136876161889,4785756.634264248
nfet,tt,0.15,2.0,-40.0,0.9,0.44,-0.367802292,1.2541289e-09,4.26864974e-08,1.3781834e-09,7.31080711e-16,0.807802292,34.03677038301247,30.973016653661624,9292772.962367678
