device,corner,length_um,temp_c,gm_id_target_per_v,vov_v,gm_gds,ft_hz
nfet,ff,0.15,-40.0,20.0,-0.07406911414549565,20.210795800398405,24883507147.98015
nfet,ff,0.15,-40.0,15.0,-0.010030320971331495,16.58123571453345,51434802225.481926
nfet,ff,0.15,-40.0,10.0,0.06950609310721077,13.366299186691975,84760258672.2273
nfet,ff,0.15,-40.0,5.0,0.2120386702265282,9.89023561897678,109703803944.75453
nfet,ff,0.15,27.0,20.0,-0.11377711957766529,20.97208197663938,11014926493.341673
nfet,ff,0.15,27.0,15.0,-0.02388122053272385,17.431374853420067,35003959491.406235
nfet,ff,0.15,27.0,10.0,0.06994884080800623,13.989144959843623,67566971060.381424
nfet,ff,0.15,27.0,5.0,0.22668533885986875,10.213320257377646,95124611567.54172
nfet,ff,0.15,125.0,20.0,,,
nfet,ff,0.15,125.0,15.0,-0.07538396480812518,17.571184769904328,12529141915.201145
nfet,ff,0.15,125.0,10.0,0.07637849840036044,14.890830794752453,48130572647.863014
nfet,ff,0.15,125.0,5.0,0.25982307824174367,11.059601760117728,81693273407.77841
nfet,ff,0.3,-40.0,20.0,0.033702358158583,70.41102471498034,6884134353.355427
nfet,ff,0.3,-40.0,15.0,0.0890256917706689,66.52539063179,12908527064.474493
nfet,ff,0.3,-40.0,10.0,0.16231636949418352,58.08539805799554,20399669066.02605
nfet,ff,0.3,-40.0,5.0,0.32174440037633206,40.338441473060044,30237457346.83493
nfet,ff,0.3,27.0,20.0,0.01263388388838179,70.64384128021399,3432856548.625785
nfet,ff,0.3,27.0,15.0,0.0895607294685232,67.47135211530215,9235319974.866495
nfet,ff,0.3,27.0,10.0,0.17183493101163344,58.28441872142398,16134400675.258268
nfet,ff,0.3,27.0,5.0,0.3367272894323263,39.12138219375149,24511458584.83734
nfet,ff,0.3,125.0,20.0,-0.3764351949179293,60.080160450332755,2746413.245176994
nfet,ff,0.3,125.0,15.0,0.07807905137293546,68.03726170558544,4670736273.117453
nfet,ff,0.3,125.0,10.0,0.19460859341457357,59.25399857224875,12332774427.432043
nfet,ff,0.3,125.0,5.0,0.36873044960963414,38.164877579252476,19944641454.44055
nfet,ff,0.6,-40.0,20.0,0.02987420018184416,181.6515312313098,1561492978.5480497
nfet,ff,0.6,-40.0,15.0,0.0889491643471878,162.4053577132021,3098460877.106991
nfet,ff,0.6,-40.0,10.0,0.16733978237911468,125.43749860414974,5190781485.113914
nfet,ff,0.6,-40.0,5.0,0.34381498213363365,67.89897793813121,8630325258.373796
nfet,ff,0.6,27.0,20.0,0.005756015766022991,179.40928582755714,772266387.9258558
nfet,ff,0.6,27.0,15.0,0.08372444898656345,163.1695190154081,2076803862.9581728
nfet,ff,0.6,27.0,10.0,0.17061795625494255,125.35310876487881,3801340124.488859
nfet,ff,0.6,27.0,5.0,0.35275804465498184,66.07420244960542,6459078574.713518
nfet,ff,0.6,125.0,20.0,-0.23647081688161928,165.30794664826584,8438944.650067594
nfet,ff,0.6,125.0,15.0,0.07323306397215393,162.53866064796412,1071381892.5882668
nfet,ff,0.6,125.0,10.0,0.18801883365629282,125.87553423331472,2728255082.98746
nfet,ff,0.6,125.0,5.0,0.3749911277333527,64.16786617712941,4758657071.31793
nfet,ff,1.2,-40.0,20.0,0.03728848863944195,189.29193311066874,416011496.1379907
nfet,ff,1.2,-40.0,15.0,0.09363007777322949,180.3022784644135,791562243.4669442
nfet,ff,1.2,-40.0,10.0,0.17165122271278416,147.06913040978844,1324038241.2327847
nfet,ff,1.2,-40.0,5.0,0.357225608116874,82.9398695552099,2333134372.480798
nfet,ff,1.2,27.0,20.0,0.018076859008855826,185.8123933844748,213984884.4300697
nfet,ff,1.2,27.0,15.0,0.09192556201987392,184.15994199803126,539554326.348077
nfet,ff,1.2,27.0,10.0,0.17699383581138342,149.90307785932288,969401115.375355
nfet,ff,1.2,27.0,5.0,0.3623689484803338,82.42888403181061,1680422359.7321136
nfet,ff,1.2,125.0,20.0,-0.197629894116435,155.2547420391073,3454147.3439724008
nfet,ff,1.2,125.0,15.0,0.0841815660839503,181.8883841633089,278972462.8796438
nfet,ff,1.2,125.0,10.0,0.196416094071378,153.89886135344202,691484917.1382074
nfet,ff,1.2,125.0,5.0,0.38178371815206896,81.77225909691927,1196596599.7296276
nfet,fs,0.15,-40.0,20.0,-0.08251730868890066,26.61551782142984,5846755647.646079
nfet,fs,0.15,-40.0,15.0,0.026256207568095307,26.90597072478808,25748484427.69783
nfet,fs,0.15,-40.0,10.0,0.11825120900727326,25.885926168216155,50766327079.06243
nfet,fs,0.15,-40.0,5.0,0.280252106730285,21.052872287613884,76784711377.8544
nfet,fs,0.15,27.0,20.0,-0.12523545148766613,28.600819334638267,3225011383.6208096
nfet,fs,0.15,27.0,15.0,-0.016177949016243882,26.106694566786565,13646075775.182022
nfet,fs,0.15,27.0,10.0,0.10336820663895811,25.61729615617688,36204531638.69358
nfet,fs,0.15,27.0,5.0,0.2871104410442124,21.09317581732227,62736002588.60116
nfet,fs,0.15,125.0,20.0,-0.2710311142244423,29.68886481549527,265850257.92453307
nfet,fs,0.15,125.0,15.0,-0.05941903119561565,27.003579040956367,6547509067.910227
nfet,fs,0.15,125.0,10.0,0.09271227411763326,26.544579567557545,25269287731.031387
nfet,fs,0.15,125.0,5.0,0.2963126419244622,21.511560154238516,49444426854.252945
nfet,fs,0.3,-40.0,20.0,0.029535140450091594,114.47247930141543,4188718097.7036223
nfet,fs,0.3,-40.0,15.0,0.09040554043811388,106.44629400152735,8638377256.72832
nfet,fs,0.3,-40.0,10.0,0.17051971675855931,88.26620087040597,14819920759.800728
nfet,fs,0.3,-40.0,5.0,0.3492295843149625,54.08745712359514,25064530633.642113
nfet,fs,0.3,27.0,20.0,-0.0016747071156461013,112.64670904768093,1725996631.7665806
nfet,fs,0.3,27.0,15.0,0.08832355518019963,107.61917207991524,5764936554.0109005
nfet,fs,0.3,27.0,10.0,0.17809018418673295,88.46302498074509,11002733566.396843
nfet,fs,0.3,27.0,5.0,0.35982342004515655,52.39104268168118,18748190894.809483
nfet,fs,0.3,125.0,20.0,,,
nfet,fs,0.3,125.0,15.0,0.06715250895931335,107.13250242633039,2497074714.8410463
nfet,fs,0.3,125.0,10.0,0.19856447225494833,89.98319803531183,7929257248.332297
nfet,fs,0.3,125.0,5.0,0.3877629020196189,51.236348381986446,14267583859.71925
nfet,fs,0.6,-40.0,20.0,0.026870888374580484,200.22523076863646,1232677597.63248
nfet,fs,0.6,-40.0,15.0,0.08872358479696385,179.3555169209553,2575518403.4727645
nfet,fs,0.6,-40.0,10.0,0.17027396927091848,137.2677919172017,4481456721.866021
nfet,fs,0.6,-40.0,5.0,0.3557166370454977,72.14158466330679,7907302174.375012
nfet,fs,0.6,27.0,20.0,-0.0023772189694452224,195.7785080936279,552516732.1959723
nfet,fs,0.6,27.0,15.0,0.08302499404639913,180.3113806466112,1684841590.0971982
nfet,fs,0.6,27.0,10.0,0.1737621491507728,137.5304950710867,3230966604.777935
nfet,fs,0.6,27.0,5.0,0.36374285474501517,70.42842823407258,5793132090.371443
nfet,fs,0.6,125.0,20.0,-0.4396501729408948,181.27244844901773,185473.9300825161
nfet,fs,0.6,125.0,15.0,0.06701252454603442,178.77159707870678,793194595.0077578
nfet,fs,0.6,125.0,10.0,0.1910482815341591,138.629311153592,2263397235.125369
nfet,fs,0.6,125.0,5.0,0.38662145272153314,68.66260772618246,4195510820.6570144
nfet,fs,1.2,-40.0,20.0,0.03497734376452595,188.3141839642706,356304033.09311736
nfet,fs,1.2,-40.0,15.0,0.09358529033897503,180.70943787847003,702957815.5947006
nfet,fs,1.2,-40.0,10.0,0.1739595836288023,148.00804337074499,1206227498.550997
nfet,fs,1.2,-40.0,5.0,0.36526322853036275,83.32941082384819,2212962389.2063656
nfet,fs,1.2,27.0,20.0,0.011968778125218552,182.61480380326165,169530284.55503693
nfet,fs,1.2,27.0,15.0,0.09119499572609356,184.11541222185645,468184417.80727863
nfet,fs,1.2,27.0,10.0,0.17912863780820792,150.93439969632715,870363722.7138193
nfet,fs,1.2,27.0,5.0,0.37023780926822963,82.81220076709936,1569684644.6268702
nfet,fs,1.2,125.0,20.0,-0.28361438993849036,154.6347068511938,706042.0870375745
nfet,fs,1.2,125.0,15.0,0.0788311589564375,179.94339531644798,225040385.69278276
nfet,fs,1.2,125.0,10.0,0.19788696180918536,154.84185048818767,606859103.803846
nfet,fs,1.2,125.0,5.0,0.3901439357887002,82.0757280430939,1100953498.9685638
nfet,sf,0.15,-40.0,20.0,-0.07364750354963916,20.362119883872232,26509123470.24142
nfet,sf,0.15,-40.0,15.0,-0.009801303784536973,16.7195934244632,54653582999.98856
nfet,sf,0.15,-40.0,10.0,0.06954749062886714,13.505071859138464,89897980157.48717
nfet,sf,0.15,-40.0,5.0,0.21196527741439009,10.024575245048824,116111801530.24307
nfet,sf,0.15,27.0,20.0,-0.11407698239826031,21.096306944128234,11565676650.55815
nfet,sf,0.15,27.0,15.0,-0.023153089664997076,17.570390997924928,37264106628.96098
nfet,sf,0.15,27.0,10.0,0.07088452205521702,14.152643804754348,71999519440.4956
nfet,sf,0.15,27.0,5.0,0.22711047853821334,10.365849260457622,100910614883.66867
nfet,sf,0.15,125.0,20.0,,,
nfet,sf,0.15,125.0,15.0,-0.07603423252064204,17.664207370092473,13070759153.275526
nfet,sf,0.15,125.0,10.0,0.07771401076520587,15.051031602966317,51276692653.76737
nfet,sf,0.15,125.0,5.0,0.26083060372193084,11.24919825213882,86910254943.57077
nfet,sf,0.3,-40.0,20.0,0.034005367883082914,72.08019835537748,7103964738.980473
nfet,sf,0.3,-40.0,15.0,0.08878219280848654,68.09601524042336,13204964036.51695
nfet,sf,0.3,-40.0,10.0,0.1618741637467976,59.28728115355439,20793641099.76707
nfet,sf,0.3,-40.0,5.0,0.3203071956499659,41.04032632964412,30600446088.65092
nfet,sf,0.3,27.0,20.0,0.013294964957815871,72.30790771914742,3592656231.7291303
nfet,sf,0.3,27.0,15.0,0.08971933790958317,68.98571314032486,9503622196.23063
nfet,sf,0.3,27.0,10.0,0.17162145645772875,59.45192877541968,16500877108.115952
nfet,sf,0.3,27.0,5.0,0.3354813606705874,39.79704583966683,24889093876.59446
nfet,sf,0.3,125.0,20.0,-0.3434964772533326,62.29872575432258,5143829.352809577
nfet,sf,0.3,125.0,15.0,0.07879783626025211,69.52520363833713,4867055557.136923
nfet,sf,0.3,125.0,10.0,0.1945039803726797,60.40355551101957,12663482713.6272
nfet,sf,0.3,125.0,5.0,0.36724639276493104,38.81837769998796,20316680211.352806
nfet,sf,0.6,-40.0,20.0,0.030377491386117506,184.53107740919825,1570745565.9006798
nfet,sf,0.6,-40.0,15.0,0.0888575857120548,164.7243847872399,3105758034.752539
nfet,sf,0.6,-40.0,10.0,0.1669739497350946,126.93331879702143,5189960235.553959
nfet,sf,0.6,-40.0,5.0,0.34288897115130573,68.58430976732235,8586477730.528025
nfet,sf,0.6,27.0,20.0,0.006834574797112728,182.16355170947193,786325520.7340564
nfet,sf,0.6,27.0,15.0,0.0839688342364393,165.3099480675809,2091729518.9888294
nfet,sf,0.6,27.0,10.0,0.17017419863462402,126.89654551767764,3804995947.206764
nfet,sf,0.6,27.0,5.0,0.3515884865124691,66.75418627630228,6431567109.228005
nfet,sf,0.6,125.0,20.0,-0.22696212871969498,167.43838113044464,9934132.63031357
nfet,sf,0.6,125.0,15.0,0.07416424995504155,164.7973552940243,1087282643.2954533
nfet,sf,0.6,125.0,10.0,0.18816513820797628,127.25237796845812,2740186557.45246
nfet,sf,0.6,125.0,5.0,0.3738917114676569,64.81634944294441,4743776962.984337
nfet,sf,1.2,-40.0,20.0,0.03764842362546666,190.06174243755393,413967934.26286846
nfet,sf,1.2,-40.0,15.0,0.09382937409509319,180.65439288740123,786403967.8397437
nfet,sf,1.2,-40.0,10.0,0.17183196844509707,147.4214011639344,1311623314.6620498
nfet,sf,1.2,-40.0,5.0,0.3564331441648788,83.38833568134726,2298973507.0885043
nfet,sf,1.2,27.0,20.0,0.019068467987769244,186.7787524223301,214711108.49932453
nfet,sf,1.2,27.0,15.0,0.09232392816203339,184.49818018734635,537645249.9267265
nfet,sf,1.2,27.0,10.0,0.17694110800911855,150.43101066881545,960243656.7467691
nfet,sf,1.2,27.0,5.0,0.36134135931190936,82.94055086261525,1655660528.5167477
nfet,sf,1.2,125.0,20.0,-0.1913851144027528,155.65599908837277,3809282.350183804
nfet,sf,1.2,125.0,15.0,0.08491619541117765,182.54877470469674,279409413.3302824
nfet,sf,1.2,125.0,10.0,0.196597986689106,154.53573799911572,686385336.0058625
nfet,sf,1.2,125.0,5.0,0.38140240049577306,82.27687802596954,1181180667.330554
nfet,ss,0.15,-40.0,20.0,-0.08539045927891531,25.193577999229497,6893665168.939241
nfet,ss,0.15,-40.0,15.0,0.016242677308946213,24.215707287149176,26502932025.984104
nfet,ss,0.15,-40.0,10.0,0.11065760695501746,23.055890095214018,53499354550.85566
nfet,ss,0.15,-40.0,5.0,0.27127430873757624,18.770938108796653,80003682804.1942
nfet,ss,0.15,27.0,20.0,-0.12526719348011595,27.00655293838599,3814707633.8737407
nfet,ss,0.15,27.0,15.0,-0.020383291518209792,24.10607434221226,15101250683.073248
nfet,ss,0.15,27.0,10.0,0.09685863700764454,22.98280392849128,38734807452.50691
nfet,ss,0.15,27.0,5.0,0.2785604070192353,18.85976080748466,65899260486.56332
nfet,ss,0.15,125.0,20.0,-0.31695847027660345,27.085753266473496,135909491.19970798
nfet,ss,0.15,125.0,15.0,-0.06379407204922498,24.890401136493676,6977400928.6564665
nfet,ss,0.15,125.0,10.0,0.09057945807149143,24.078783188769286,27638019707.004715
nfet,ss,0.15,125.0,5.0,0.29092119693821106,19.412811567675295,52854392935.0957
nfet,ss,0.3,-40.0,20.0,0.030292510659270654,106.4965563015798,4440296046.554519
nfet,ss,0.3,-40.0,15.0,0.09060019913239782,99.25874168639282,9027889643.841198
nfet,ss,0.3,-40.0,10.0,0.16986190172965349,82.9709907701778,15305594967.778713
nfet,ss,0.3,-40.0,5.0,0.34567426379257815,51.82689510369249,25373059093.49558
nfet,ss,0.3,27.0,20.0,0.00046663459481980155,105.16135846644774,1857163347.7458925
nfet,ss,0.3,27.0,15.0,0.08914676013450144,100.42554513792511,6087289919.913275
nfet,ss,0.3,27.0,10.0,0.17782732548132046,83.23840524588343,11483521901.994549
nfet,ss,0.3,27.0,5.0,0.3569994626972849,50.187102951813976,19234641951.122383
nfet,ss,0.3,125.0,20.0,,,
nfet,ss,0.3,125.0,15.0,0.06850499183741125,100.07032493095231,2662101884.5866203
nfet,ss,0.3,125.0,10.0,0.19915375437216404,84.62363318221833,8345181807.682028
nfet,ss,0.3,125.0,5.0,0.3866479596942574,48.990098509419155,14816993298.075031
nfet,ss,0.6,-40.0,20.0,0.027209573738019965,196.87253628184249,1262453673.4975054
nfet,ss,0.6,-40.0,15.0,0.08881143819674107,176.38755303293698,2613312181.1000457
nfet,ss,0.6,-40.0,10.0,0.16988188887201502,135.2369417823635,4518461787.610271
nfet,ss,0.6,-40.0,5.0,0.3536845640837757,71.42770234615031,7892056603.875613
nfet,ss,0.6,27.0,20.0,-0.0010006217974026718,192.99466136032763,570451079.6368544
nfet,ss,0.6,27.0,15.0,0.08344350171015433,177.31269903952506,1718036957.347595
nfet,ss,0.6,27.0,10.0,0.17340251180277783,135.51249314243788,3267245403.413278
nfet,ss,0.6,27.0,5.0,0.362196645062702,69.69335296846378,5802775936.491415
nfet,ss,0.6,125.0,20.0,-0.41245134053101734,178.49782892402766,311526.9391112593
nfet,ss,0.6,125.0,15.0,0.06809534318398383,175.9376072746435,814334569.0279937
nfet,ss,0.6,125.0,10.0,0.19129994661781738,136.3931935440185,2299090764.555792
nfet,ss,0.6,125.0,5.0,0.38513151460931605,67.90177393575435,4216313597.4745946
nfet,ss,1.2,-40.0,20.0,0.035429704646400856,188.63985552485758,357119515.7522233
nfet,ss,1.2,-40.0,15.0,0.09345514676589839,180.88880130095984,700941719.7864337
nfet,ss,1.2,-40.0,10.0,0.17338892591692476,147.9923717947348,1199214917.0636318
nfet,ss,1.2,-40.0,5.0,0.36431272226044875,83.34334212693469,2189657450.423593
nfet,ss,1.2,27.0,20.0,0.013154718468222002,183.13158386697654,171336611.39939398
nfet,ss,1.2,27.0,15.0,0.09152517007033692,184.20306219964502,469245516.6268836
nfet,ss,1.2,27.0,10.0,0.17904234961096746,150.8776680114369,868300466.1707009
nfet,ss,1.2,27.0,5.0,0.3691515982959005,82.88445078373535,1554734612.1662908
nfet,ss,1.2,125.0,20.0,-0.2771711014160488,154.5921395158267,785760.0377028069
nfet,ss,1.2,125.0,15.0,0.079687991558178,180.0520901888014,226875940.41185844
nfet,ss,1.2,125.0,10.0,0.19823345929889405,154.73450273617914,607310415.5420974
nfet,ss,1.2,125.0,5.0,0.389352747857352,82.18104252247157,1093380665.787504
nfet,tt,0.15,-40.0,20.0,-0.08240754434159367,22.37231995475864,12533572084.995865
nfet,tt,0.15,-40.0,15.0,-0.0005467581508169592,19.584303391177087,34467406349.66929
nfet,tt,0.15,-40.0,10.0,0.09128251767110614,17.498048051389024,66521697243.92178
nfet,tt,0.15,-40.0,5.0,0.24576228095014893,13.943241598864802,94512815261.0717
nfet,tt,0.15,27.0,20.0,-0.12011090214177576,23.67457073364135,6491407124.496105
nfet,tt,0.15,27.0,15.0,-0.02449653398829553,20.26332070796716,22304775799.470646
nfet,tt,0.15,27.0,10.0,0.08251096420151932,17.812185903821444,50310997967.09632
nfet,tt,0.15,27.0,5.0,0.25522509637596713,14.142810292120586,79701986408.28711
nfet,tt,0.15,125.0,20.0,-0.45775991038505937,21.060445014852238,14882681.39892835
nfet,tt,0.15,125.0,15.0,-0.06899424023881134,20.79193836588645,9482824591.376091
nfet,tt,0.15,125.0,10.0,0.08384674210089438,18.947032992817814,36764487937.111786
nfet,tt,0.15,125.0,5.0,0.2760108865024619,14.88032266080854,66327205736.60124
nfet,tt,0.3,-40.0,20.0,0.03182283577778586,88.02086573148594,5620030226.298096
nfet,tt,0.3,-40.0,15.0,0.08942487492679302,82.58196266316817,10948622381.344515
nfet,tt,0.3,-40.0,10.0,0.16543722950652126,70.50824210064198,17897648419.105072
nfet,tt,0.3,-40.0,5.0,0.3322490621126044,46.40826027190155,27882342893.091072
nfet,tt,0.3,27.0,20.0,0.006763948716576186,87.72753832460218,2601300775.9908876
nfet,tt,0.3,27.0,15.0,0.08897873248198111,83.60275797780346,7633003221.02759
nfet,tt,0.3,27.0,10.0,0.1745077297233025,70.63109423010788,13837681973.178862
nfet,tt,0.3,27.0,5.0,0.3457743572233409,44.921580921134414,21986658550.996315
nfet,tt,0.3,125.0,20.0,,,
nfet,tt,0.3,125.0,15.0,0.07334319337388247,83.85419135408515,3631210722.928447
nfet,tt,0.3,125.0,10.0,0.19631652203828862,71.76418295087323,10342204339.542894
nfet,tt,0.3,125.0,5.0,0.3766635231787876,43.75255894075618,17474930948.03535
nfet,tt,0.6,-40.0,20.0,0.02850951828805807,189.45398446105065,1414059308.9361742
nfet,tt,0.6,-40.0,15.0,0.08883817504955203,169.5100438481203,2865148091.1978526
nfet,tt,0.6,-40.0,10.0,0.16856682487864344,130.40291217951565,4874425742.143532
nfet,tt,0.6,-40.0,5.0,0.34859505445108785,69.71456885493737,8295462315.634573
nfet,tt,0.6,27.0,20.0,0.0024708822632079092,186.4758417968161,670967184.4275143
nfet,tt,0.6,27.0,15.0,0.08353047182929373,170.3461082831509,1903430780.2528765
nfet,tt,0.6,27.0,10.0,0.17193736285982217,130.4794702501364,3549404994.4463725
nfet,tt,0.6,27.0,5.0,0.3570047872093714,67.93221685504002,6157537763.798521
nfet,tt,0.6,125.0,20.0,-0.29511423237209616,171.98792123509565,2818035.8145082593
nfet,tt,0.6,125.0,15.0,0.07073752289971408,169.39531373811866,943870326.1585822
nfet,tt,0.6,125.0,10.0,0.18958211799939256,131.15359818454036,2524620530.8071094
nfet,tt,0.6,125.0,5.0,0.37986245575358246,66.0454529652332,4511340315.812895
nfet,tt,1.2,-40.0,20.0,0.036332375400200526,188.916737856501,388106829.4412679
nfet,tt,1.2,-40.0,15.0,0.09351995676192065,180.5476764466598,749731340.4636062
nfet,tt,1.2,-40.0,10.0,0.17246986334555073,147.4865292538587,1267731106.2036996
nfet,tt,1.2,-40.0,5.0,0.36054043178605405,83.10448013995853,2271181838.6818433
nfet,tt,1.2,27.0,20.0,0.015686796182655765,184.49383144727696,193046143.93427968
nfet,tt,1.2,27.0,15.0,0.09170351002889225,184.15970962373447,506724461.11659086
nfet,tt,1.2,27.0,10.0,0.1779772321718718,150.34338894034482,923694282.0334392
nfet,tt,1.2,27.0,5.0,0.3655793992316359,82.61088118732609,1625767919.3275704
nfet,tt,1.2,125.0,20.0,-0.23283445432163197,154.81460450812455,1820889.2468171422
